Company,Job Title,Pay Range,Remote Policy,Primary Focus,Keywords,Status,Application Link
Automattic,Technical Account Manager (Special Projects),"$80,000 - $130,000+",Fully Remote,Partner success with WordPress/WooCommerce; onboarding; DNS; migrations; product feedback,"WordPress, WooCommerce, DNS, migrations",Not Applied,https://automattic.com/work-with-us/
Automattic,Technical Account Manager (Newspack),"$80,000 - $130,000+",Fully Remote,Manage publisher migrations; post-launch technical and strategic support,"WordPress, project management, migrations",Not Applied,https://automattic.com/work-with-us/
Vercel,Developer Success Engineer,"$138,000 - $206,000",Fully Remote (US/UK/Germany),Guide customers through onboarding/go-live; troubleshoot Next.js/serverless; optimization,"Next.js, React, serverless, API integration, performance",Not Applied,https://vercel.com/careers
Automattic,Customer Success Engineer (WordPress VIP),"$90,000 - $120,000+",Fully Remote,Advanced tech support & architectural guidance for enterprise customers on WordPress VIP,"WordPress, database scaling, enterprise support",Not Applied,https://automattic.com/work-with-us/
Automattic (Pressable),Technical Account Manager,"$80,000 - $130,000",Fully Remote,Post-sales portfolio management; site health/caching/CDN audits; retention,"WordPress, caching, CDN, WP-CLI, QBRs",In Progress (Trial stage),N/A
DigitalOcean,Customer Success Engineer / TAM,"$100,000 - $145,000",Remote (US hubs),Technical account support; database and cloud infrastructure optimization; client-facing engineering,"Cloud hosting, databases, customer success, Slack support",Not Applied,https://www.digitalocean.com/careers
Fastly,Technical Account Manager,"Enterprise Scale",Fully Remote,Enterprise edge cloud/CDN optimization; security configs; technical escalation liaison,"CDN, security, performance, DNS, caching",Not Applied,https://www.fastly.com/about/careers
Acquia,Technical Account Manager,"Enterprise Scale",Fully Remote (US),Dedicated technical advisor for enterprise Drupal Cloud and WordPress hosting portfolios,"Drupal, WordPress, cloud hosting, client advisor",Not Applied,https://www.acquia.com/careers
Cursor (Anysphere),Solutions Architect,"Enterprise Scale",Fully Remote (US),Design AI-native developer workflows; guide enterprise onboarding; drive product adoption,"AI editor, developer workflow, solutions architecture, integration",Not Applied,https://cursor.com/
Vantage,Founding Solutions Architect,"$145,000 - $180,000",Fully Remote (US),Technical FinOps & cloud cost management integration for strategic accounts,"FinOps, cloud cost, database, APIs, enterprise success",Not Applied,https://www.vantage.sh/
Qdrant,Technical Success Manager,"Enterprise Scale",Fully Remote (US/LATAM),Architectural guidance and deployment of vector search & RAG database architectures,"Vector search, RAG, databases, AI success",Not Applied,https://qdrant.tech/
Hightouch,Partner Solutions Engineer,"Enterprise Scale",Fully Remote (US),Reverse ETL integrations; GTM data pipelines; SQL/data warehouse consulting,"SQL, reverse ETL, BigQuery, data pipeline, partnerships",Not Applied,https://hightouch.com/
FunnelCake,Technical Account Manager (SQL),"Enterprise Scale",Fully Remote (US),SQL-heavy data manipulation; client portfolio coaching; drive platform feature adoption,"SQL, data manipulation, TAM, client coaching",Not Applied,https://funnelcake.com/
