Date,Company,Title,Posted Range,My Expectation,Status,Email Used,URL / Job Link,Notes
2026-04-18,Duende Software,Revenue Operations (RevOps) Engineer,$80000 - $100000,"$100,000",Applied,jeremy@jeremywood.digital,https://duendesoftware.com,Outreach sent to Dan VanHoozer.
2026-04-18,Orange Logic,Associate Customer Success Manager,$70000 - $90000,"$90,000",Applied,jeremy@jeremywood.digital,N/A,Matches preferences. Remote.
2026-04-18,Sand Cherry Associates (Swooped),Ticketing Analyst,$70000 - $80000,"$80,000",Applied,jeremy@jeremywood.digital,N/A,Digital workforce focus.
2026-04-20,Antavo,Enablement Manager,$85000 - $100000,"$100,000",Applied,jeremy@jeremywood.digital,https://antavo.com,Hungarian Ancestry (1895) lead. Enablement Architect narrative.
2026-04-20,EasyLlama,Systems Administrator (GTM Systems),$80000 - $107000,"$107,000",Applied,jeremy@jeremywood.digital,N/A,RevOps Architect role. Internal tech stack owner.
2026-04-20,Doist,Customer Support Specialist,$70000 - $85000,"$85,000",Applied,jeremy@jeremywood.digital,https://doist.com/careers,High autonomy/async focus.
2026-04-20,GitLab,Support Engineer,$80000 - $110000,"$110,000",Applied,jeremy@jeremywood.digital,https://job-boards.greenhouse.io/gitlab/jobs/8389856002,Values-aligned (Iteration/Transparency).
2026-04-20,Affirm,Implementation Specialist I,$75000 - $85000,"$85,000",Applied,jeremy@jeremywood.digital,https://job-boards.greenhouse.io/affirm/jobs/7666194003,Remote US (Los Angeles based).
2026-04-20,Buffer,Customer Advocate,$75000 - $95000,"$95,000",Applied,jeremy@jeremywood.digital,https://buffer.com/journey/customer-advocate,Direct referral to Mike Eckstein.
2026-04-21,NextGenPros Inc (UMG),GA4/GTM Solution Architect,$60/Hr W2,"$124,800",Applied,jeremy@jeremywood.digital,N/A,Screening call complete. Submitted to Fieldglass for UMG.
2026-04-21,Zapier,Automation Strategist,IC3/IC4,"$170,000",Applied,jeremy@jeremywood.digital,N/A,AI Orchestration narrative. High Impact/Freedom role.
2026-04-21,Samsara,L1 Senior Technical Support,$46000 - $62000,"$62,000",Applied,jeremy@jeremywood.digital,N/A,Easy Apply. IoT/Telematics focus.
